FMEA编号,产品,分析层级,项目/功能,潜在失效模式,潜在失效后果,严酷度(S),潜在失效原因/机理,发生度(O),现行预防控制,现行探测控制,可探测度(D),风险优先数(RPN),措施优先级(AP),建议措施,措施状态,措施结果,备注
FF26,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,"Hit by dropped objects [1,9]","Damage to the facility, vast economic loses",4.83,Environmental condition; Typhoon can cause failure of the floating unit if it gets hit by dropping objects. (eg. damaged blade)(strong wind/wave),1.67,,,3.17,25.0,,Expanded design load cases (including typhoon/hurricane scenarios); High-fidelity coupled aero-hydro-elastic simulation in design updates; -,,,source_table: Floating support structure; source_record_id: 33; remarks: Yes; Experts emphasised design-basis expansion and impact-avoidance measures. Standards referenced: IEC 61400-3-2; 9; 36
FF27,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Structural break [11],"Watertight fault, Potential Floater Unit sinkage",4.67,Design; Underdesigned structure/Component due to insufficient environmental data,2.33,,,3.0,22.4,,Expanded design load cases (including typhoon/hurricane scenarios); High-fidelity coupled aero-hydro-elastic simulation in design updates,,,source_table: Floating support structure; source_record_id: 34; remarks: Yes; Experts emphasised environmental-data sufficiency and simulation-driven requalification. Standards referenced: IEC 61400-3-2 and DNV-RP-C205; 12; 40
FF28,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures & Welding,Structural break [11],"Watertight fault, Potential Floater Unit sinkage",4.5,Maintenance; Undetected defects due to poor quality control,2.33,,,3.6,19.0,,"Operational limits: weather windows, alarm thresholds for motions; Other- Specify; -; Welding quality assurance and NDT enhancement (phased-array UT)",,,"source_table: Floating support structure; source_record_id: 35; remarks: Yes; Experts highlighted the importance of monitoring, operational thresholds, and NDT enhancement. Optional input referenced: Commercially available SHM systems.; 10; 50"
FF29,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure & Welding,Watertight fault [1],Reduced stability,3.6,Manufacturing and Installation; Ventilation heads/Manholes failure due to Manufacturing defect/Welding defect,2.33,,,3.6,36.0,,-,,,source_table: Floating support structure; source_record_id: 36; remarks: No; -; 9; 60
FF30,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Welding,Cracks [11],Watertight fault,3.6,Manufacturing; Welding failure,3.0,,,3.2,31.2,,-,,,source_table: Floating support structure; source_record_id: 37; remarks: No; -; 20; 40
SKS1,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Anchor (AC),"Anchor failure [1], [17]",Anchor failure,4.2,Operation; Abnormal working conditions,2.2,,,3.8,34.0,,"Continuous tension and vibration monitoring; thresholds for intervention; Procedural controls: load management, operational envelopes; Better design by expanded load case matrix including more failure modes; -",,,"source_table: Station keeping; source_record_id: 8; remarks: Yes; Multiple simultaneous hazards and the value of digital-twin were highlighted. Standards referenced: IEC 61400-3-2,; Monitoring-based mitigation dominate across the subsystem, reflecting the operational nature of many mooring failures. Design-based mitigations (fatigue margins, geometery optimisation, rope selection) apprear consistently in fatigue and wear-deiven modes. Lower scores for inspection-heavy or emerging mitigations (e.g. hysteretic heating, transitional wear); higher scores for established design or procedural measures.; 16; 50"
SKS2,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Anchor (AC),"Anchor failure [1], [17]",Anchor failure,4.2,Operation; Cyclic degradation,2.2,,,3.8,34.0,,"Continuous tension and vibration monitoring; thresholds for intervention; Procedural controls: load management, operational envelopes; Better design by expanded load case matrix including more failure modes; -",,,source_table: Station keeping; source_record_id: 9; remarks: Yes; -; 16; 50
SKS3,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Buoyancy element,Failure in buoyancy element,,3.0,Operation,3.0,,,3.25,29.25,,-,,,source_table: Station keeping; source_record_id: 10; remarks: No; -; 27; 36
SKS4,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Clump weight,Failure in clump weight,,3.0,Operation,2.75,,,3.5,28.5,,-,,,source_table: Station keeping; source_record_id: 11; remarks: No; -; 24; 36
SKS5,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Fairlead (FL),"Fairlead failure [1], [17]",The anchor cannot be dropped and lift,3.8,Operation; Fairlead fatigue,2.8,,,3.0,30.0,,Continuous tension and vibration monitoring; thresholds for intervention; Fairlead geometry improvements and low-wear lining; Optimized chain/wire/rope selection and fatigue margins (design); -,,,source_table: Station keeping; source_record_id: 12; remarks: Yes; Uncertainties in chain fatigue mechanisms and the need for improved understanding of fairlead fatigue were noted. Standards referenced: DNV-RP-C203 and DNV-ST-0119; 24; 36
SKS6,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Fairlead (FL),"Fairlead failure [1],[17]",The anchor cannot be dropped and lift,3.8,Operation; Fairlead corrosion,2.8,,,3.0,30.0,,Cathodic protection and corrosion monitoring regimes; -,,,source_table: Station keeping; source_record_id: 13; remarks: Yes; Clamps used for protection may introduce secondary issues; 24; 36
SKS7,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Monitoring System,Monitoring system fails,Unable to monitor tension in the mooring lines,2.6,Operation,3.2,,,2.0,13.5,,-,,,source_table: Station keeping; source_record_id: 14; remarks: No; -
SKS8,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring line breakage [8],Mooring line strength decrease or broken,4.0,Manufacturing; Poor splice quality/ workmanship/qualification,2.4,,,3.2,28.8,,ROV visual inspections; targeted maintenance on wear zones; Diversity in materials/vendors to reduce common-cause risks; -,,,source_table: Station keeping; source_record_id: 15; remarks: Yes; Supplier best practices and reducing common-cause risks were emphasized; 24; 40
SKS9,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring line breakage[8],Mooring line strength decrease or broken,4.0,Environmental condition; Abnormal stress due to mooring lines wear caused by unexpected seismic loads/ The tension overpassing the limit value can cause the mooring line to instantaneously break [18],2.0,,,2.6,20.0,,Continuous tension and vibration monitoring; thresholds for intervention; -,,,source_table: Station keeping; source_record_id: 16; remarks: Yes; Seismic/compression loads can change mooring stiffness and should be detectable via dynamic monitoring. Standards referenced: DNV-RP-C205; 16; 24
SKS10,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring line breakage[8],Mooring line strength decrease or broken,4.0,Environmental condition; Mooring lines wear caused by unexpected external damage (from e.g. overtrawling)/particulate ingress/UV light,2.0,,,3.0,24.0,,Continuous tension and vibration monitoring; thresholds for intervention; -,,,source_table: Station keeping; source_record_id: 17; remarks: Yes; -; 16; 40
SKS11,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring Line Corrosion [1],Mooring line strength decrease or broken,3.6,Maintenance; Mooring lines corrosion due to improper maintenance of the corroded components,2.8,,,3.0,29.2,,Continuous tension and vibration monitoring; thresholds for intervention; Optimized chain/wire/rope selection and fatigue margins (design); -,,,source_table: Station keeping; source_record_id: 18; remarks: Yes; -; 20; 36
SKS12,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring Line Fatigue [1],Mooring line strength decrease or broken,3.6,"Maintenance; Mooring line fatigue due to Lack of proper maintenance, including inspection, monitoring, and replacement of the mooring lines.",2.8,,,3.0,29.6,,-,,,source_table: Station keeping; source_record_id: 19; remarks: No; -; 10; 48
SKS13,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring Line Fatigue [1],Mooring line strength decrease or broken,3.6,"Operation; Mooring line fatigue due to Improper operational procedures, such as excessive loading, bending or twisting.",3.0,,,3.0,31.6,,Continuous tension and vibration monitoring; thresholds for intervention; Optimized chain/wire/rope selection and fatigue margins (design); -,,,source_table: Station keeping; source_record_id: 20; remarks: Yes; Material data gaps (e.g. nylon ropes) and the value of dynamic response monitoring were highlighted. Standards referenced :DNV-ST-0119; 20; 48
SKS14,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring line wear [1],Mooring line strength decrease or broken,3.6,Manufacturing; Mooring lines wear due to poor quality during fabrication,2.8,,,3.6,35.6,,-,,,source_table: Station keeping; source_record_id: 21; remarks: No; -; 27; 48
SKS15,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring line wear [1],Mooring line strength decrease or broken,3.6,Design; Mooring lines wear due to underestimation of seisemic events during design or due to rope compression not considered,2.0,,,3.6,26.4,,-,,,source_table: Station keeping; source_record_id: 22; remarks: No; -; 18; 40
SKS16,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring Lines (ML) / Mooring lines,Mooring line wear [1],Mooring line strength decrease or broken,3.6,"Operation; Mooring lines wear due to Improper handling, such as excessive tension, bending, or twisting of the mooring lines.",2.4,,,3.6,31.6,,-,,,source_table: Station keeping; source_record_id: 23; remarks: No; -; 18; 50
SKS17,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring lines (ML) / Mooring lines,"Mooring lines broken [1,3]",Asset not in correct location or position,4.0,Operation; Transitional chain wear due to repeated loading and unloading cycles over time,2.4,,,2.6,24.8,,"ROV visual inspections; targeted maintenance on wear zones; Optimized chain/wire/rope selection and fatigue margins (design); Only chain and wire above MSL, keep fiber ropes wet; -",,,"source_table: Station keeping; source_record_id: 24; remarks: Yes; Digital-twin-based identification of transitional wear zones. Standards referenced: DNV-ST-0119,; 16; 48"
SKS18,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring lines (ML) / Mooring lines,"Mooring lines broken [1,3]",Asset not in correct location or position,4.0,Maintenance; Transitional chain wear due to improper inspection and maintenance,2.0,,,2.6,20.0,,"ROV visual inspections; targeted maintenance on wear zones; Optimized chain/wire/rope selection and fatigue margins (design); Only chain and wire above MSL, keep fiber ropes wet; -",,,source_table: Station keeping; source_record_id: 25; remarks: Yes; -; 16; 24
SKS19,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring lines (ML) / Mooring lines,"Mooring lines broken [1,3]",Asset not in correct location or position,4.0,"Operation; Friction chain wear due to significant movement and tension due to the forces of wind, waves",2.2,,,2.6,22.4,,"ROV visual inspections; targeted maintenance on wear zones; Optimized chain/wire/rope selection and fatigue margins (design); Only chain and wire above MSL, keep fiber ropes wet; -",,,source_table: Station keeping; source_record_id: 26; remarks: Yes; Risk-based inspection and the need to focus on known wear zones.; 16; 36
SKS20,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring lines (ML) / Mooring lines,"Mooring lines broken [1,3]",Asset not in correct location or position,4.0,Operation; Mooring line wear due to hysteretic heating or wet-dry cycling,2.2,,,3.0,28.0,,ROV visual inspections; targeted maintenance on wear zones; -,,,"source_table: Station keeping; source_record_id: 27; remarks: Yes; Optional inputs referenced DNV-ST-0119, highlighting material data gaps (e.g. nylon ropes) and the value of dynamic respo; 16; 60"
SKS21,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring lines (ML) / Mooring winch,Mooring winch failure [1],Asset not in correct location or position,4.0,Design; Mooring winch failure due to understimation of loads during design phase,2.0,,,2.8,21.6,,-,,,source_table: Station keeping; source_record_id: 28; remarks: No; -; 16; 32
SKS22,Floating Offshore Wind Array FMEA,Station keeping,Station keeping / Mooring lines (ML) / Mooring winch,Mooring winch failure [1],Asset not in correct location or position,4.0,Maintenance; Mooring winch failure due to undetected hazard during operation,2.0,,,3.2,25.6,,"Continuous tension and vibration monitoring; thresholds for intervention; Procedural controls: load management, operational envelopes; -",,,source_table: Station keeping; source_record_id: 29; remarks: Yes; Failures are often linked to overloading and require operational discipline; 16; 40
DC1,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,accelerated mechanical fatigue,Structural damage - cable composition weakening,4.2,Design Phase; Underestimation of dynamic conditions - Unexpected contingency scenario ( loss of mooring line ) - unexpected dynamic loads,2.2,,,3.75,30.25,,"Monitoring: DTS/RTTR, electrical integrity tests, leak detection; Lazy-wave configuration optimization; buoyancy spacing; hang-off upgrades; -",,,"source_table: Dynamic cable; source_record_id: 8; remarks: Yes; Importance of sharing cable data. Standards referenced: DNV-RP-0360; There was a wide diverstiy of mitigation strategies across all subsystems, reflecting the complex and multi-mechanism nature of cable failures in floating wind arrays. Monitoring is the dominant mitigation pathway, with DTS/RTTR, electrical integrity tests, leak detection, and DAS fibre monitoring appearing across fatigue, insulation, material. These approaches are scalable and provide early detection capability, although they do not eliminate the underlying failure mechanisms. Lower scores for installation-sensitive or soil-condition-dependent mitigations (e.g., CPS scour movement). Moderate scores for monitoring-based mitigations (scalable but not preventive). Higher scores for configuration-based mitigations (e.g., lazy-wave optimisation).; 25; 32"
DC2,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,anchoring damages,Structural integrity damage - extra stress on cables,4.2,Environmental conditions; Anchor impacts - seabed movement,1.6,,,2.4,20.0,,-,,,source_table: Dynamic cable; source_record_id: 9; remarks: No; -; 8; 32
DC3,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Cable Damage,Operational disruption,2.67,"Operation; Mechanical stress - cable motion,Bending and motion",3.0,,,3.0,32.0,,-,,,source_table: Dynamic cable; source_record_id: 10; remarks: No; -; 32
DC4,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / J-tube,Corrosion of J-tube [6],J-tube degradation affecting cable integrity,2.8,"Installation phase; Seawater exposure, environmental conditions due to failure of corrosion protection anodes",2.8,,,3.2,22.5,,-,,,source_table: Dynamic cable; source_record_id: 11; remarks: No; -; 18; 27
DC5,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / J-tube,Corrosion of J-tube [6],J-tube degradation affecting cable integrity,3.2,"Design Phase; Seawater exposure, environmental conditions due to insufficient coating",2.0,,,3.4,15.0,,-; Cathodic protection; coating improvements,,,source_table: Dynamic cable; source_record_id: 12; remarks: Yes; Parallels with mooring-chain corrosion; 12; 18
DC6,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Crushing or deformation,Structural damage - cable weakening,3.8,Design Phase; Excessive mechanical load - equipment interraction,1.8,,,3.2,24.0,,-,,,source_table: Dynamic cable; source_record_id: 13; remarks: No; -; 16; 32
DC7,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Hang-off,damage and corrosion of mechanical parts,High risk of fault on the cable - total loss of the line Prodution loss on the string,3.2,Design Phase; Wrong design/execution of the isolation material,1.75,,,3.5,24.0,,-; Design review; improved material selection,,,source_table: Dynamic cable; source_record_id: 14; remarks: Yes; Emphasised need for critical design review; 16; 32
DC8,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Debris disturbance,Cable damage - operational disruption,3.2,Environmental conditions; Floating debris - marine activities,2.0,,,3.2,16.0,,-; Environmental protections; debris management,,,source_table: Dynamic cable; source_record_id: 15; remarks: Yes; Robust design and visual deterrents for marine mammals were suggested; 16
DC9,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Detachment,cable disconnection - water penetration - Power loss,4.4,Operation; Connector failure - Mechanical stress,2.0,,,2.4,18.5,,-; Design review; improved material selection,,,source_table: Dynamic cable; source_record_id: 16; remarks: Yes; Need for critical design review was emphasised; 5; 32
DC10,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Joints and terminations,Failure of end termination [6],breakdown of insulation,3.6,Manufacturing; Poor quality components [6],2.6,,,2.8,25.2,,-,,,source_table: Dynamic cable; source_record_id: 17; remarks: Yes; -; 12; 36
DC11,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Joints and terminations,Failure of end termination [6],breakdown of insulation,3.8,Manufacturing; Poor quality of insulating fluids [6],2.6,,,3.2,28.6,,-; Design improvements; enhanced termination QA,,,source_table: Dynamic cable; source_record_id: 18; remarks: Yes; Industry focus on improved terminations and fast connection/disconnection; 18; 45
DC12,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Joints and terminations,Failure of end termination [6],breakdown of insulation,3.6,Manufacturing; Quality of workmanship [6],2.8,,,2.8,27.6,,-,,,source_table: Dynamic cable; source_record_id: 19; remarks: Yes; -; 18; 36
DC13,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Failure of fixing clamps,Cable damage - exposure to elements,3.6,Operation; Mechanical stress,2.6,,,3.0,28.0,,-,,,source_table: Dynamic cable; source_record_id: 20; remarks: No; -; 16; 48
DC14,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Insulation,Failure of insulations,Fault in the cable - power disruption,4.4,Design Phase; Inproper design : need quality insulation materials and protection,2.2,,,2.8,25.6,,-,,,source_table: Dynamic cable; source_record_id: 21; remarks: Yes; -; 10; 32
DC15,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Sheath,Failure of sheath,Fault in the cable - exposure to elements,4.2,Operation; Mechanical and thermal stress,2.4,,,3.0,31.6,,-,,,source_table: Dynamic cable; source_record_id: 22; remarks: No; -; 10; 48
DC16,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Failure of watertightness,Reduced or interupted electricity flow,4.2,Manufacturing; Errors or defects during manufacturing,2.6,,,3.0,30.2,,"Installation QA/QC: pull-in tension verification, handling procedures; Watertightness assurance: enhanced sealing tests; end termination QA; -",,,source_table: Dynamic cable; source_record_id: 23; remarks: Yes; Existing procedures may be insufficient and require enhancement; 20; 45
DC17,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Failure of watertightness,Reduced or interupted electricity flow,4.2,Operation; Damage on the cable due to extreme environmental events,2.0,,,3.6,27.8,,Watertightness assurance: enhanced sealing tests; end termination QA; -,,,"source_table: Dynamic cable; source_record_id: 24; remarks: Yes; Failure may be linked to turbine control state (e.g., feathered condition); 16; 48"
DC18,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Conductor,failures of conductors,Electrical faults - loss of production,4.2,Operation; Internal damage: Problem in insulation material - Electrical overload,2.4,,,2.4,25.0,,"-; Monitoring (DTS/RTTR, electrical integrity tests)",,,source_table: Dynamic cable; source_record_id: 25; remarks: Yes; Can be estimated via current/temperature + digital twin; 5; 48
DC19,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Fatigue Cracks,Crack may evolve in a fault of the cable - Cable weakening,4.2,Operation; Repeated stress cycles - bending motions,2.4,,,3.6,35.6,,"Monitoring: DTS/RTTR, electrical integrity tests, leak detection; -",,,source_table: Dynamic cable; source_record_id: 26; remarks: Yes; Distributed Acoustic Sensing (DAS) fibre monitoring recommended; embed monitoring fibre separately from communication fibre.; 10; 64
DC20,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Geo-Hazards,"Cable damage, production disruption",4.6,"Design Phase; Unexpected contingency ( earthquake, seabed movement)",1.4,,,3.5,32.0,,-,,,source_table: Dynamic cable; source_record_id: 27; remarks: Yes; -; 32
DC21,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Loss of dynamic positioning,Cables stress,3.4,Environmental conditions; Dynamic positioning system failure due to excessive environmental conditions,2.6,,,3.0,26.0,,-,,,source_table: Dynamic cable; source_record_id: 28; remarks: No; -; 16; 48
DC22,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Buoyancy modules,Loss of float bility (water adsorption),,3.5,Operation,2.5,,,3.0,24.0,,-,,,source_table: Dynamic cable; source_record_id: 29; remarks: No; -; 24
DC23,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,material degradation,Weakening of cable materials - loss of production,4.4,Design Phase; Underestimation of dynamic conditions - Unexpected contingency scenario ( loss of mooring line ),1.8,,,3.0,18.5,,"Monitoring: DTS/RTTR, electrical integrity tests, leak detection; -",,,source_table: Dynamic cable; source_record_id: 30; remarks: Yes; Monitoring can detect degradation early; mitigation may involve control strategies; 5; 32
DC24,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Fiber optic,Mechanical degradation [20],,2.5,Operation,1.75,,,2.5,12.0,,-,,,source_table: Dynamic cable; source_record_id: 31; remarks: No; -; 12
DC25,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Cable Protection System (CPS),Movement of CPS due to scour/seabed mobility [6],Cable being vulnerable to scour and need for repair or replacement,3.8,Design Phase; Design inefficiency [6],2.2,,,4.4,38.4,,-,,,source_table: Dynamic cable; source_record_id: 32; remarks: Yes; -; 16; 80
DC26,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Cable Protection System (CPS),Movement of CPS due to scour/seabed mobility [6],Cable being vulnerable to scour and need for repair or replacement,3.8,"Design Phase; lack of data of the deployment location [4,6]",2.6,,,4.4,44.0,,Burial/trenching optimization; scour mitigation; as-built metrology; -,,,source_table: Dynamic cable; source_record_id: 33; remarks: Yes; Linked to poor soil-condition knowledge; 16; 80
DC27,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Cable Protection System (CPS),Movement of CPS due to scour/seabed mobility [6],Cable being vulnerable to scour and need for repair or replacement,3.8,Installation phase; incorrect installation [6],2.8,,,4.0,41.6,,Burial/trenching optimization; scour mitigation; as-built metrology; -,,,source_table: Dynamic cable; source_record_id: 34; remarks: Yes; Linked to poor soil-condition knowledge; 36; 48
DC28,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Premature damage of outer protection layer,"Structural damage - cable weakening, exposure to elements",3.6,Environmental conditions; Environmental exposure - wear,2.2,,,3.75,29.0,,-,,,source_table: Dynamic cable; source_record_id: 35; remarks: No; -; 18; 36
DC29,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Static cable/Export Cable,Reduced sediment cover lower than designed value for protection [6],"need for re-burial, change of cable protection requirement or even replacement of cable",3.6,Design Phase; Insufficient information for the deployment location [6],2.4,,,3.8,28.6,,"Burial/trenching optimization; scour mitigation; as-built metrology; Monitoring: DTS/RTTR, electrical integrity tests, leak detection; -",,,source_table: Dynamic cable; source_record_id: 36; remarks: Yes; Burial efficiency can be documented using DTS (heat-transfer estimation).; 20; 40
DC30,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable (Touchdown point),Reduced sediment cover lower than designed value for protection [6],"need for re-burial, change of cable protection requirement or even replacement of cable",4.0,Design Phase; Insufficient information for the deployment location [6],2.0,,,3.5,0.0,,-,,,source_table: Dynamic cable; source_record_id: 37; remarks: No; -; 0
DC31,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Static cable/Export Cable,Reduced sediment cover lower than designed value for protection [6],"need for re-burial, change of cable protection requirement or even replacement of cable",3.6,Environmental conditions; exposure of seabed cover to extreme environmental phenomena,2.2,,,4.2,29.6,,-,,,source_table: Dynamic cable; source_record_id: 38; remarks: Yes; -; 20; 40
DC32,Floating Offshore Wind Array FMEA,Dynamic cable,Dynamic cable / Dynamic Cable / Dynamic Cable/,Small bending radius,Cable damage - insulation degradation,3.4,Operation; Mechanical stress - excessive bending,2.6,,,3.2,28.6,,Lazy-wave configuration optimization; buoyancy spacing; hang-off upgrades; -,,,source_table: Dynamic cable; source_record_id: 39; remarks: Yes; Bending radius closely linked to fatigue. Standards Referenced: DNV-RP-0360; 16; 48
